Num_of_kids,Num_of_Teen,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Complain,Cost_Contact,Revenue,Response,Education_cat,Status_cat,Registration_date_month,Registration_date_year,Recency_norm,Num_Web_Purchases_norm,Num_Store_Purchases_norm,Num_Deals_Purchases_norm,Num_Catalog_Purchases_norm,Num_Web_Visits_norm,Age_norm,Income_norm,Mnt_Fruits_norm,Mnt_Meat_norm,Mnt_sweet_norm,Mnt_Fish_norm,Mnt_Gold_Products_norm,Mnt_Wines_norm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,2,1.0,2013.0,0.42424242424242425,1.0,0.0,1.0,0.0,0.05,0.16504854368932037,0.04520435049388212,0.0006697923643670462,0.005025125628140704,0.9999999999999999,0.0027624309392265192,0.0038022813688212928,0.003861003861003861
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,1,5.0,2014.0,0.6565656565656566,1.0,0.0,0.0,0.0,1.0,0.2427184466019417,0.0,0.0006697923643670462,0.005025125628140704,0.001160092807424594,0.0027624309392265192,0.0038022813688212928,0.003861003861003861
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,2,3,9.0,2012.0,0.6262626262626263,1.0,0.0,0.03571428571428571,0.0,0.9500000000000001,0.04854368932038833,0.009471588243079032,0.04889484259879437,0.09045226130653267,0.037703016241299306,0.0055248618784530384,0.045627376425855515,0.02702702702702703
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,0,4,1.0,2013.0,0.7676767676767677,1.0,0.3333333333333333,0.21428571428571427,0.6923076923076923,0.35000000000000003,0.2815533980582524,0.0986245292780057,0.34494306764902877,0.23618090452261306,0.10440835266821345,0.26243093922651933,0.3612167300380228,0.5752895752895753
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,2,8.0,2012.0,0.21212121212121213,1.0,0.0,1.0,0.07692307692307693,0.0,0.13592233009708732,0.2392305424882996,0.036838580040187544,0.08040201005025126,0.9402552204176333,0.011049723756906077,0.011406844106463879,0.06563706563706564
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,2,3.0,2014.0,0.98989898989899,1.0,0.0,0.7857142857142857,0.0,0.0,0.22330097087378636,0.2338766437672197,0.013395847287340924,0.010050251256281407,0.9170533642691414,0.0027624309392265192,0.0076045627376425855,0.003861003861003861
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,4,2,6.0,2014.0,0.29292929292929293,1.0,0.0,0.0,0.0,0.9500000000000001,0.3203883495145631,0.003448452181864119,0.003348961821835231,0.0,0.0,0.0027624309392265192,0.0038022813688212928,0.003861003861003861
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,4,1.0,2013.0,0.888888888888889,0.8666666666666667,0.2222222222222222,0.07142857142857142,0.9230769230769231,0.25,0.38834951456310673,0.07394395851630833,0.19089082384460818,0.1407035175879397,0.13979118329466358,0.3729281767955801,0.43346007604562736,0.21235521235521235
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,3,2,11.0,2012.0,0.7474747474747475,0.8666666666666667,0.2962962962962963,0.07142857142857142,0.6923076923076923,0.4,0.22330097087378636,0.07877149079009108,0.3610180843938379,0.03015075376884422,0.05220417633410672,0.26795580110497236,0.022813688212927757,0.03088803088803089
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,0,4,8.0,2012.0,0.7272727272727273,0.8666666666666667,0.07407407407407407,0.07142857142857142,0.9230769230769231,0.4,0.16504854368932037,0.08889426952368348,0.40187541862022774,0.10552763819095477,0.07366589327146171,0.35359116022099446,0.5703422053231939,0.8610038610038611
